,FLAT_v3_started_FLAT_v3_won,ZEROX_v3_started_FLAT_v3_won,FLAT_v3_started_Tie,ZEROX_v3_started_Tie,FLAT_v3_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,18.0,,,,
1,,,,,,23.0
2,,,,,48.0,
3,,,,,12.0,
4,,,,,,29.0
5,,,,,16.0,
6,,,,,,25.0
7,,,,,,9.0
8,,,,,,19.0
9,17.0,,,,,
10,,,,,,25.0
11,,,,,,9.0
12,,,,,38.0,
13,,,,,,11.0
14,,,,,22.0,
15,,,,,,11.0
16,,,,,40.0,
17,,,,,10.0,
18,,,,,18.0,
19,,,,,30.0,
20,,,64.0,,,
21,,,,,,19.0
22,,,,,34.0,
23,,,,,,11.0
24,,,,,,11.0
25,,,,,12.0,
26,,,,,14.0,
27,,,,,14.0,
28,,,,,18.0,
29,,,,,,39.0
30,9.0,,,,,
31,,,,,,17.0
32,,,,,26.0,
33,,12.0,,,,
34,,,,,,11.0
35,,,,,12.0,
36,,,,,10.0,
37,,,,,14.0,
38,,,,,,27.0
39,,,,,12.0,
40,,,,,20.0,
41,,,,,,11.0
42,,,,,44.0,
43,,,,,,17.0
44,,,,,,33.0
45,,,,,18.0,
46,13.0,,,,,
47,,,,,,13.0
48,,,,,12.0,
49,,,,,,17.0
