,FLAT_v4_started_FLAT_v4_won,FLAT_v5_started_FLAT_v4_won,FLAT_v4_started_Tie,FLAT_v5_started_Tie,FLAT_v4_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,19.0,,,,,
1,13.0,,,,,
2,,,,,,13.0
3,,,,,,13.0
4,11.0,,,,,
5,19.0,,,,,
6,,,,,,15.0
7,,20.0,,,,
8,,,,,22.0,
9,35.0,,,,,
10,,,,,,19.0
11,,32.0,,,,
12,13.0,,,,,
13,,,,,18.0,
14,23.0,,,,,
15,,14.0,,,,
16,,,,64.0,,
17,,,,,,21.0
18,13.0,,,,,
19,,,,,16.0,
20,,,,,24.0,
21,41.0,,,,,
22,19.0,,,,,
23,,24.0,,,,
24,,,,,,15.0
25,31.0,,,,,
26,,32.0,,,,
27,,20.0,,,,
28,,,,,,15.0
29,,,,,,9.0
30,21.0,,,,,
31,,,,,,17.0
32,,,,,12.0,
33,,,64.0,,,
34,29.0,,,,,
35,31.0,,,,,
36,47.0,,,,,
37,13.0,,,,,
38,23.0,,,,,
39,13.0,,,,,
40,17.0,,,,,
41,,,,,22.0,
42,,,,,,11.0
43,17.0,,,,,
44,11.0,,,,,
45,13.0,,,,,
46,,,,,30.0,
47,,,,,24.0,
48,,,,,58.0,
49,27.0,,,,,
