,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v3_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v3_started_Tie,ZEROX_v2_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,18.0,
1,,,,,14.0,
2,,,,,,27.0
3,,,,,,11.0
4,,,,,,21.0
5,,,,,,11.0
6,,,,,,15.0
7,,,64.0,,,
8,,,,,12.0,
9,,,,,16.0,
10,,,,,,27.0
11,,,,,14.0,
12,,,,,,29.0
13,,,,,12.0,
14,,,,,,15.0
15,,,,,20.0,
16,23.0,,,,,
17,,,,,28.0,
18,,,,,14.0,
19,,,,,10.0,
20,,,,,,23.0
21,,,,,,9.0
22,,,,,,11.0
23,,,,,14.0,
24,,,,,,11.0
25,,,,,,13.0
26,,,,,,9.0
27,,,,,12.0,
28,,,,,,15.0
29,17.0,,,,,
30,,,,,,13.0
31,,,,,,11.0
32,,,,,14.0,
33,,,,,,13.0
34,,,,,,9.0
35,,,,,,11.0
36,,,,,12.0,
37,,,,,,9.0
38,,,,,12.0,
39,,,,,,19.0
40,,,,,,9.0
41,,,,,,11.0
42,,,,,16.0,
43,,,,,,13.0
44,,,,,12.0,
45,,,,,,9.0
46,,,,,,21.0
47,11.0,,,,,
48,45.0,,,,,
49,,,,,,57.0
