,ZERO_v1_started_ZERO_v1_won,ZERO_v3_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v3_started_Tie,ZERO_v1_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,,,,,,11.0
1,,,,,18.0,
2,,,,,22.0,
3,13.0,,,,,
4,,,,,,17.0
5,29.0,,,,,
6,,,64.0,,,
7,,,,,26.0,
8,,,,,,9.0
9,,,,,,15.0
10,,,,,20.0,
11,,,,,,25.0
12,,,,,10.0,
13,,,,,,11.0
14,,,64.0,,,
15,,,,64.0,,
16,,,,,,11.0
17,,,,,14.0,
18,,,,,16.0,
19,,,,,12.0,
20,,,,,,11.0
21,,,,,,11.0
22,,,,,12.0,
23,,,,,,9.0
24,,,,,,11.0
25,,,,,,11.0
26,,,,,,11.0
27,,,,,,11.0
28,,,,,,9.0
29,,,,,,11.0
30,,,,,12.0,
31,,,64.0,,,
32,,,,,,11.0
33,,,,,,11.0
34,,,,,,11.0
35,,,,,34.0,
36,,,,,,11.0
37,,,,,24.0,
38,,,,,,19.0
39,,,,,12.0,
40,,,,,,11.0
41,21.0,,,,,
42,,,,,,17.0
43,,,,,16.0,
44,,,,64.0,,
45,,,64.0,,,
46,,,,,14.0,
47,,,,64.0,,
48,,,,,,11.0
49,,,,,,11.0
