,ZERO_v1_started_ZERO_v1_won,ZERO_v6_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v6_started_Tie,ZERO_v1_started_ZERO_v6_won,ZERO_v6_started_ZERO_v6_won
0,,,,,,11.0
1,,,,,12.0,
2,27.0,,,,,
3,,,,,14.0,
4,,,,,12.0,
5,,,,,,11.0
6,57.0,,,,,
7,,,,,,15.0
8,41.0,,,,,
9,,,,,,13.0
10,,,,,,11.0
11,,,,,10.0,
12,,,,,10.0,
13,,,,,12.0,
14,,,,,14.0,
15,,,,,,21.0
16,,,,,16.0,
17,,,,,,11.0
18,,,,,22.0,
19,,,,,10.0,
20,,,,,34.0,
21,19.0,,,,,
22,,,,,12.0,
23,,,,,,11.0
24,,,,,,11.0
25,,,,,10.0,
26,,,,,12.0,
27,,,,,30.0,
28,,,,,12.0,
29,,,,,,11.0
30,,,,,14.0,
31,,,,,46.0,
32,,,,,12.0,
33,,,,,,9.0
34,,,,,12.0,
35,,,,,,15.0
36,,,,,14.0,
37,,,,,14.0,
38,,,,,,11.0
39,,,,,12.0,
40,,,,,14.0,
41,,,,,,11.0
42,45.0,,,,,
43,,,,,,9.0
44,,,,,20.0,
45,,,,,,13.0
46,,,,,,13.0
47,,,,,,11.0
48,,,,,,17.0
49,,,,,,21.0
