,FLAT_v2_started_FLAT_v2_won,FLAT_v4_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v4_started_Tie,FLAT_v2_started_FLAT_v4_won,FLAT_v4_started_FLAT_v4_won
0,23.0,,,,,
1,,,,,,11.0
2,,,,,12.0,
3,,,,,,9.0
4,,,,,12.0,
5,,,,,,21.0
6,,,,,,17.0
7,17.0,,,,,
8,,,,,10.0,
9,,,,,14.0,
10,,,,,,11.0
11,,,,,,11.0
12,,,,,12.0,
13,,,,,10.0,
14,,,,,12.0,
15,,,,,16.0,
16,,18.0,,,,
17,,,,,,11.0
18,,,,,,15.0
19,,,,,12.0,
20,,,,,12.0,
21,,,,,,11.0
22,,,,,18.0,
23,,,,,16.0,
24,15.0,,,,,
25,,,,,,11.0
26,,,,,,21.0
27,,,,,,19.0
28,,,,,12.0,
29,,,,,,23.0
30,,,,,14.0,
31,,,,,,11.0
32,11.0,,,,,
33,,,,,10.0,
34,,,,,,9.0
35,,,,,16.0,
36,,,,,28.0,
37,,,,,,11.0
38,,,,,12.0,
39,,,,,12.0,
40,,,,,12.0,
41,,,,,10.0,
42,,,,,12.0,
43,,,,,12.0,
44,,,,,,35.0
45,,,,,10.0,
46,,,,,12.0,
47,,,,,,19.0
48,,,,,12.0,
49,,,,,,23.0
