,FLAT_v5_started_FLAT_v5_won,UCT_4500_started_FLAT_v5_won,FLAT_v5_started_Tie,UCT_4500_started_Tie,FLAT_v5_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,,23.0
1,,,,,,23.0
2,,,,,,23.0
3,9.0,,,,,
4,,10.0,,,,
5,,,,,,9.0
6,,,,,22.0,
7,,10.0,,,,
8,,,,,,21.0
9,,,,,,17.0
10,,,,,,17.0
11,,,,,26.0,
12,9.0,,,,,
13,11.0,,,,,
14,9.0,,,,,
15,,12.0,,,,
16,,16.0,,,,
17,15.0,,,,,
18,,,,,18.0,
19,,,,,16.0,
20,9.0,,,,,
21,,,,,28.0,
22,,10.0,,,,
23,,,,,,17.0
24,,10.0,,,,
25,13.0,,,,,
26,,10.0,,,,
27,,,,,24.0,
28,17.0,,,,,
29,,,,,,21.0
30,,,,,24.0,
31,,,,,,15.0
32,,,,,,31.0
33,9.0,,,,,
34,,,,,,13.0
35,,,,,46.0,
36,,,,,24.0,
37,,,,,20.0,
38,13.0,,,,,
39,,,,,,23.0
40,,,,,,31.0
41,19.0,,,,,
42,,,,,,29.0
43,15.0,,,,,
44,9.0,,,,,
45,,10.0,,,,
46,17.0,,,,,
47,,,,,26.0,
48,,,,,38.0,
49,,,,,36.0,
