,ZERO_v4_started_ZERO_v4_won,ZEROX_v4_started_ZERO_v4_won,ZERO_v4_started_Tie,ZEROX_v4_started_Tie,ZERO_v4_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,18.0,,,,
1,,,,,,21.0
2,13.0,,,,,
3,,,,,22.0,
4,,,,,14.0,
5,,,,,,17.0
6,,,,,,19.0
7,,,,,,21.0
8,,,,,,23.0
9,19.0,,,,,
10,,,64.0,,,
11,,,,,28.0,
12,,,,,18.0,
13,23.0,,,,,
14,21.0,,,,,
15,,,,,,17.0
16,13.0,,,,,
17,,,,,,53.0
18,19.0,,,,,
19,,18.0,,,,
20,,32.0,,,,
21,43.0,,,,,
22,11.0,,,,,
23,,,,,,43.0
24,11.0,,,,,
25,,34.0,,,,
26,,16.0,,,,
27,11.0,,,,,
28,,,,,,9.0
29,,,,,,19.0
30,,,,,,23.0
31,,,,,,19.0
32,,,64.0,,,
33,,,,,,33.0
34,15.0,,,,,
35,33.0,,,,,
36,,,,,,17.0
37,,,,,,27.0
38,,34.0,,,,
39,,,64.0,,,
40,,,,,,19.0
41,,,,,,17.0
42,13.0,,,,,
43,,,,,10.0,
44,,,,,16.0,
45,13.0,,,,,
46,,,,,10.0,
47,23.0,,,,,
48,13.0,,,,,
49,,20.0,,,,
