,ZEROX_v6_started_ZEROX_v6_won,UCT_3000_started_ZEROX_v6_won,ZEROX_v6_started_Tie,UCT_3000_started_Tie,ZEROX_v6_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,,29.0
1,9.0,,,,,
2,,,,64.0,,
3,,18.0,,,,
4,15.0,,,,,
5,,,,,,39.0
6,,10.0,,,,
7,,14.0,,,,
8,,,,,,33.0
9,,,,64.0,,
10,9.0,,,,,
11,,,,,,13.0
12,,12.0,,,,
13,,,64.0,,,
14,,,,,26.0,
15,,,,,36.0,
16,15.0,,,,,
17,,,,,28.0,
18,9.0,,,,,
19,,10.0,,,,
20,,,,,,25.0
21,,,,64.0,,
22,,,,,,37.0
23,,,,64.0,,
24,17.0,,,,,
25,,,,,,11.0
26,,,,,,33.0
27,9.0,,,,,
28,,10.0,,,,
29,,,,,,39.0
30,9.0,,,,,
31,,,,,,29.0
32,,16.0,,,,
33,,,64.0,,,
34,,,,,,25.0
35,9.0,,,,,
36,,,,,38.0,
37,,,64.0,,,
38,9.0,,,,,
39,9.0,,,,,
40,,38.0,,,,
41,,,,,,41.0
42,,,,64.0,,
43,15.0,,,,,
44,15.0,,,,,
45,,,,,,35.0
46,,,,,,35.0
47,,,,,32.0,
48,9.0,,,,,
49,,10.0,,,,
