,ZERO_v2_started_ZERO_v2_won,UCT_1500_started_ZERO_v2_won,ZERO_v2_started_Tie,UCT_1500_started_Tie,ZERO_v2_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,10.0,,,,
1,,,,,16.0,
2,,12.0,,,,
3,,12.0,,,,
4,15.0,,,,,
5,,,,,24.0,
6,,10.0,,,,
7,,,,,,11.0
8,15.0,,,,,
9,,10.0,,,,
10,,10.0,,,,
11,,,,,,15.0
12,,,,,,39.0
13,,,,,16.0,
14,,14.0,,,,
15,,,,,,9.0
16,,12.0,,,,
17,9.0,,,,,
18,,10.0,,,,
19,,10.0,,,,
20,11.0,,,,,
21,,,,,22.0,
22,11.0,,,,,
23,,16.0,,,,
24,15.0,,,,,
25,,,,,,17.0
26,,,,,,13.0
27,17.0,,,,,
28,19.0,,,,,
29,11.0,,,,,
30,,,,,18.0,
31,9.0,,,,,
32,,10.0,,,,
33,,10.0,,,,
34,,16.0,,,,
35,,10.0,,,,
36,,,,,,9.0
37,,12.0,,,,
38,9.0,,,,,
39,,16.0,,,,
40,,,,,,13.0
41,,,,,,13.0
42,,10.0,,,,
43,,,,,,19.0
44,9.0,,,,,
45,9.0,,,,,
46,,,64.0,,,
47,11.0,,,,,
48,,10.0,,,,
49,,14.0,,,,
