,FLAT_v2_started_FLAT_v2_won,UCT_6000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_6000_started_Tie,FLAT_v2_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,14.0,
1,,,,,12.0,
2,,,,,10.0,
3,,,,,,21.0
4,11.0,,,,,
5,,,,,18.0,
6,,,,,12.0,
7,,12.0,,,,
8,,,,,,19.0
9,,,,,10.0,
10,,,,,,15.0
11,,,,,,9.0
12,,,,,,9.0
13,,,,,20.0,
14,11.0,,,,,
15,,,,,,11.0
16,,,,,16.0,
17,,,,,16.0,
18,,,,,14.0,
19,19.0,,,,,
20,,,,,16.0,
21,,,,,,17.0
22,,,,,12.0,
23,,,,,10.0,
24,,,,,,13.0
25,,,,,,9.0
26,,,,,,11.0
27,,,,,,9.0
28,,,,,14.0,
29,,,,,12.0,
30,,,,,14.0,
31,,,,,30.0,
32,,,,,,9.0
33,,,,,24.0,
34,,,,,30.0,
35,,,,,14.0,
36,,,,,,15.0
37,,,,,14.0,
38,,,,,,13.0
39,,,,,,9.0
40,,,,,16.0,
41,,,,,22.0,
42,,,,,28.0,
43,,,,,,15.0
44,,,,,16.0,
45,,,,,14.0,
46,,,,,,9.0
47,,,,,,21.0
48,13.0,,,,,
49,,,,,,9.0
