,ZEROX_v3_started_ZEROX_v3_won,ZEROX_v4_started_ZEROX_v3_won,ZEROX_v3_started_Tie,ZEROX_v4_started_Tie,ZEROX_v3_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,,39.0
1,,,64.0,,,
2,,,,,,15.0
3,,,,,,39.0
4,,,,,,43.0
5,,,,,,27.0
6,,,,,14.0,
7,,,,,16.0,
8,,,,,,19.0
9,,,,,,31.0
10,,,,,,15.0
11,21.0,,,,,
12,,,64.0,,,
13,,,,,,21.0
14,,,,,16.0,
15,,,64.0,,,
16,,,,,22.0,
17,,,64.0,,,
18,,,,,,21.0
19,,,,,16.0,
20,,,,,14.0,
21,11.0,,,,,
22,21.0,,,,,
23,,,,,,33.0
24,,,,,,19.0
25,,,,,,39.0
26,,,64.0,,,
27,,,64.0,,,
28,,,,,10.0,
29,,,64.0,,,
30,,,,,16.0,
31,,,,,,31.0
32,,,,,,25.0
33,,,64.0,,,
34,,,,,22.0,
35,,,,,,17.0
36,,,,,18.0,
37,,,,,16.0,
38,,16.0,,,,
39,,,,,16.0,
40,,,64.0,,,
41,,,,,10.0,
42,,,,,,33.0
43,,,64.0,,,
44,,,,,40.0,
45,,,64.0,,,
46,,,,,14.0,
47,,,,,,27.0
48,,,,,16.0,
49,,,,64.0,,
