,FLAT_v6_started_FLAT_v6_won,UCT_3000_started_FLAT_v6_won,FLAT_v6_started_Tie,UCT_3000_started_Tie,FLAT_v6_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,,47.0
1,9.0,,,,,
2,,,,,,17.0
3,,,,,,23.0
4,,10.0,,,,
5,9.0,,,,,
6,,,,,,19.0
7,,,,,,21.0
8,9.0,,,,,
9,,,,,22.0,
10,9.0,,,,,
11,,10.0,,,,
12,,,,,18.0,
13,17.0,,,,,
14,11.0,,,,,
15,,,,,,33.0
16,,,,,18.0,
17,,,,,,25.0
18,,16.0,,,,
19,,,,,,23.0
20,,12.0,,,,
21,,,,,,21.0
22,9.0,,,,,
23,,,,,,23.0
24,,,,,,21.0
25,,10.0,,,,
26,11.0,,,,,
27,,,,,18.0,
28,,,,,,49.0
29,,,,,,33.0
30,19.0,,,,,
31,,,,,,19.0
32,,,,,,23.0
33,,,,,24.0,
34,,,,,,19.0
35,,,,,,25.0
36,,,,,,37.0
37,,,,64.0,,
38,,,,,,23.0
39,,,,,,47.0
40,,18.0,,,,
41,,16.0,,,,
42,19.0,,,,,
43,,,,,30.0,
44,9.0,,,,,
45,9.0,,,,,
46,,,,,,23.0
47,,,,,,15.0
48,17.0,,,,,
49,,,,,32.0,
