,ZERO_v6_started_ZERO_v6_won,UCT_6000_started_ZERO_v6_won,ZERO_v6_started_Tie,UCT_6000_started_Tie,ZERO_v6_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,9.0,,,,,
1,,,,,32.0,
2,,,,,,39.0
3,9.0,,,,,
4,21.0,,,,,
5,,,,,16.0,
6,9.0,,,,,
7,,,,,36.0,
8,,,,,,31.0
9,,,,,,33.0
10,,,64.0,,,
11,11.0,,,,,
12,,,,,,25.0
13,,,,,,29.0
14,15.0,,,,,
15,27.0,,,,,
16,,,,,,41.0
17,11.0,,,,,
18,,,,,40.0,
19,,,,,,25.0
20,,,,,,27.0
21,,,,,,19.0
22,,14.0,,,,
23,15.0,,,,,
24,,,,,,31.0
25,,,,,,23.0
26,,,,,22.0,
27,,,64.0,,,
28,15.0,,,,,
29,11.0,,,,,
30,,22.0,,,,
31,,10.0,,,,
32,,,,,,25.0
33,,,64.0,,,
34,,,64.0,,,
35,11.0,,,,,
36,21.0,,,,,
37,,,,,,23.0
38,19.0,,,,,
39,11.0,,,,,
40,,,,,,35.0
41,,,,,,33.0
42,17.0,,,,,
43,13.0,,,,,
44,,,,,,19.0
45,,,,,28.0,
46,,,,,,31.0
47,,,64.0,,,
48,,,64.0,,,
49,,,64.0,,,
