,ZEROX_v1_started_ZEROX_v1_won,UCT_1500_started_ZEROX_v1_won,ZEROX_v1_started_Tie,UCT_1500_started_Tie,ZEROX_v1_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,,,,,19.0
1,,,,,16.0,
2,9.0,,,,,
3,,,,,,17.0
4,9.0,,,,,
5,,,,,14.0,
6,,,,,,15.0
7,,,,,16.0,
8,,,,,,17.0
9,,18.0,,,,
10,,,,,,19.0
11,,,,,,9.0
12,,,,,,13.0
13,,,64.0,,,
14,,18.0,,,,
15,,,,,,15.0
16,,10.0,,,,
17,,,,,,13.0
18,,,,,38.0,
19,9.0,,,,,
20,9.0,,,,,
21,,,,,22.0,
22,,,,,,13.0
23,9.0,,,,,
24,,,,,16.0,
25,,,,,,15.0
26,,,,,50.0,
27,,,,,,21.0
28,,,,,,21.0
29,,,,,,9.0
30,,,,,,9.0
31,11.0,,,,,
32,,,,,,11.0
33,9.0,,,,,
34,,,,,,29.0
35,,,,,,27.0
36,11.0,,,,,
37,,,,,34.0,
38,,,,,,15.0
39,,,,,,21.0
40,,,,,,11.0
41,,,,,,15.0
42,9.0,,,,,
43,,,,,12.0,
44,,14.0,,,,
45,,,,,,17.0
46,,,,,,19.0
47,,,,,,13.0
48,,,,,,17.0
49,9.0,,,,,
