,ZERO_v3_started_ZERO_v3_won,UCT_6000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_6000_started_Tie,ZERO_v3_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,42.0,
1,,,,,,23.0
2,,,,,,13.0
3,,,,,16.0,
4,,,,,,11.0
5,,,,,18.0,
6,,,64.0,,,
7,,,,,,21.0
8,,,,,14.0,
9,,,,,,17.0
10,,,,,,15.0
11,9.0,,,,,
12,,,,,14.0,
13,,,,,20.0,
14,,,,,16.0,
15,,,,,,9.0
16,,,,,,13.0
17,,,,,,31.0
18,,,,,,21.0
19,,,,,14.0,
20,,,,,24.0,
21,,,,,,19.0
22,,,,,,13.0
23,,,,,,9.0
24,,,,,24.0,
25,9.0,,,,,
26,,,,,,17.0
27,9.0,,,,,
28,,,64.0,,,
29,29.0,,,,,
30,,,64.0,,,
31,9.0,,,,,
32,,,64.0,,,
33,,,,,,21.0
34,,,,,,33.0
35,,,,,24.0,
36,,,,,,19.0
37,,,,,48.0,
38,,,,,40.0,
39,,,,,44.0,
40,,,,,,17.0
41,,,,,,11.0
42,,,,,48.0,
43,,,,,,13.0
44,,,,,44.0,
45,,,,,18.0,
46,,,,,,19.0
47,,,,,,15.0
48,,,,,,19.0
49,,,,,16.0,
