,FLAT_v2_started_FLAT_v2_won,FLAT_v3_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v3_started_Tie,FLAT_v2_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,,,,,,11.0
1,,,,,,21.0
2,,14.0,,,,
3,27.0,,,,,
4,,,,,16.0,
5,,16.0,,,,
6,,,,,,21.0
7,,10.0,,,,
8,,,,,10.0,
9,,14.0,,,,
10,,,,,,15.0
11,,22.0,,,,
12,,,,,,21.0
13,,18.0,,,,
14,,,,,14.0,
15,13.0,,,,,
16,,,,,,17.0
17,,,,,,13.0
18,,,,,18.0,
19,,,,,,11.0
20,,,,,30.0,
21,,,,,,31.0
22,,,,,,11.0
23,,,,,,15.0
24,,,,,,17.0
25,,,,,,11.0
26,,,,,,9.0
27,,24.0,,,,
28,,12.0,,,,
29,,,,,,11.0
30,,16.0,,,,
31,,,,,,17.0
32,,,,,,17.0
33,,,,,24.0,
34,,,,,12.0,
35,,,,,34.0,
36,,,,,14.0,
37,,,,,,9.0
38,,16.0,,,,
39,,,,,,13.0
40,,,,,,31.0
41,,,,,,13.0
42,,,,,,29.0
43,,14.0,,,,
44,,,,,26.0,
45,17.0,,,,,
46,11.0,,,,,
47,15.0,,,,,
48,,14.0,,,,
49,,,,,20.0,
