,FLAT_v3_started_FLAT_v3_won,FLAT_v5_started_FLAT_v3_won,FLAT_v3_started_Tie,FLAT_v5_started_Tie,FLAT_v3_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,,,,,12.0,
1,21.0,,,,,
2,35.0,,,,,
3,,,,,,25.0
4,11.0,,,,,
5,,,,,12.0,
6,11.0,,,,,
7,,,,,22.0,
8,11.0,,,,,
9,,,,,,29.0
10,,,,,,9.0
11,,,,,,13.0
12,,,,,,17.0
13,,,,,12.0,
14,,,,,,13.0
15,,,,64.0,,
16,11.0,,,,,
17,,,,,,13.0
18,,,,,,15.0
19,,,,,,31.0
20,13.0,,,,,
21,37.0,,,,,
22,,,,,,13.0
23,,,,,,15.0
24,,,,,,13.0
25,,,,,,23.0
26,,,,,,11.0
27,9.0,,,,,
28,,,,,24.0,
29,,,,,18.0,
30,17.0,,,,,
31,,22.0,,,,
32,,,,,,11.0
33,13.0,,,,,
34,,,,,12.0,
35,,,,,,19.0
36,23.0,,,,,
37,,,,,,17.0
38,,,,,20.0,
39,,38.0,,,,
40,,,,,,9.0
41,,14.0,,,,
42,,,,,12.0,
43,11.0,,,,,
44,,,,,,13.0
45,,,,,,33.0
46,,,,,12.0,
47,,,,,,17.0
48,13.0,,,,,
49,,,,,,17.0
