,ZERO_v3_started_ZERO_v3_won,UCT_1500_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_1500_started_Tie,ZERO_v3_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,10.0,,,,
1,11.0,,,,,
2,9.0,,,,,
3,9.0,,,,,
4,,12.0,,,,
5,,14.0,,,,
6,9.0,,,,,
7,,22.0,,,,
8,,,,,,37.0
9,9.0,,,,,
10,,10.0,,,,
11,,,,,36.0,
12,9.0,,,,,
13,,10.0,,,,
14,,14.0,,,,
15,13.0,,,,,
16,,,,,,15.0
17,9.0,,,,,
18,,16.0,,,,
19,9.0,,,,,
20,,10.0,,,,
21,9.0,,,,,
22,,,,,44.0,
23,,12.0,,,,
24,9.0,,,,,
25,,,,,16.0,
26,9.0,,,,,
27,,14.0,,,,
28,19.0,,,,,
29,,,,,36.0,
30,,16.0,,,,
31,,14.0,,,,
32,,12.0,,,,
33,,,,,,15.0
34,17.0,,,,,
35,,10.0,,,,
36,,,,,,19.0
37,9.0,,,,,
38,,,,,,13.0
39,9.0,,,,,
40,9.0,,,,,
41,,14.0,,,,
42,,,,,,23.0
43,,,,,,23.0
44,9.0,,,,,
45,9.0,,,,,
46,15.0,,,,,
47,9.0,,,,,
48,9.0,,,,,
49,,16.0,,,,
