,FLAT_v2_started_FLAT_v2_won,ZERO_v2_started_FLAT_v2_won,FLAT_v2_started_Tie,ZERO_v2_started_Tie,FLAT_v2_started_ZERO_v2_won,ZERO_v2_started_ZERO_v2_won
0,,,,,,21.0
1,,20.0,,,,
2,,,,,16.0,
3,,,,,20.0,
4,,,,,,15.0
5,,,,,,23.0
6,,,,,24.0,
7,,,,,,47.0
8,,,,,,15.0
9,,28.0,,,,
10,,,,,16.0,
11,,,,,,41.0
12,,,,,24.0,
13,,,,,26.0,
14,,,,,14.0,
15,,,,,28.0,
16,,,,,,25.0
17,,,,,,11.0
18,,,,,,21.0
19,,,,,,29.0
20,,,,,14.0,
21,,,,,24.0,
22,,,,,,39.0
23,,,,,24.0,
24,,,,,,25.0
25,19.0,,,,,
26,,,,,30.0,
27,,,,,28.0,
28,,,,,,9.0
29,,,,,24.0,
30,19.0,,,,,
31,,,,,,11.0
32,,,,,,39.0
33,,,,,,15.0
34,,,,,16.0,
35,,,,,,17.0
36,,,,,20.0,
37,27.0,,,,,
38,,,,,18.0,
39,,,,,,15.0
40,,,,,,37.0
41,,,,,,15.0
42,19.0,,,,,
43,,,,,24.0,
44,,,,,16.0,
45,,,,,,29.0
46,,,,,14.0,
47,,,,,,29.0
48,,,,,,15.0
49,,,,,,29.0
