,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v4_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v4_started_Tie,ZEROX_v1_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,,9.0
1,,,,,,13.0
2,,,,,,19.0
3,,,,,14.0,
4,,,,,,13.0
5,,,,,,17.0
6,,,,,12.0,
7,,,,,12.0,
8,,,,,,21.0
9,,,,,,17.0
10,,,,,,13.0
11,,,,,,15.0
12,,,,,12.0,
13,,,,,14.0,
14,,,,,22.0,
15,,,,,28.0,
16,,,,,,13.0
17,,,,,,9.0
18,,,,,,19.0
19,,,,,,11.0
20,,,,,10.0,
21,,,,,,29.0
22,,,,,,11.0
23,,,,,20.0,
24,,,,,10.0,
25,,,,,,19.0
26,,,,,14.0,
27,,,,,,9.0
28,,,,,,25.0
29,,,,,10.0,
30,,,,,,13.0
31,,,,,14.0,
32,,,,,10.0,
33,,,,,14.0,
34,,,,,,23.0
35,,,,,22.0,
36,,,,,,15.0
37,,,,,,39.0
38,,,,,,33.0
39,,,,,16.0,
40,,,,,14.0,
41,,,,,,21.0
42,,,,,14.0,
43,,,,,12.0,
44,,,,,12.0,
45,,,,,12.0,
46,,,,,14.0,
47,,,,,10.0,
48,,,,,,13.0
49,,,,,22.0,
