,ZEROX_v4_started_ZEROX_v4_won,UCT_1500_started_ZEROX_v4_won,ZEROX_v4_started_Tie,UCT_1500_started_Tie,ZEROX_v4_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,10.0,,,,
1,,10.0,,,,
2,,12.0,,,,
3,9.0,,,,,
4,9.0,,,,,
5,,20.0,,,,
6,,14.0,,,,
7,9.0,,,,,
8,9.0,,,,,
9,9.0,,,,,
10,9.0,,,,,
11,11.0,,,,,
12,9.0,,,,,
13,,12.0,,,,
14,,22.0,,,,
15,11.0,,,,,
16,15.0,,,,,
17,9.0,,,,,
18,,10.0,,,,
19,17.0,,,,,
20,21.0,,,,,
21,21.0,,,,,
22,21.0,,,,,
23,17.0,,,,,
24,,,,,,33.0
25,15.0,,,,,
26,,16.0,,,,
27,9.0,,,,,
28,,,,,14.0,
29,17.0,,,,,
30,,24.0,,,,
31,9.0,,,,,
32,,12.0,,,,
33,11.0,,,,,
34,9.0,,,,,
35,11.0,,,,,
36,,10.0,,,,
37,,,,,,39.0
38,,,,,,9.0
39,,10.0,,,,
40,15.0,,,,,
41,,10.0,,,,
42,,12.0,,,,
43,,,,,,17.0
44,13.0,,,,,
45,,12.0,,,,
46,,28.0,,,,
47,,12.0,,,,
48,,22.0,,,,
49,,10.0,,,,
