,FLAT_v2_started_FLAT_v2_won,FLAT_v5_started_FLAT_v2_won,FLAT_v2_started_Tie,FLAT_v5_started_Tie,FLAT_v2_started_FLAT_v5_won,FLAT_v5_started_FLAT_v5_won
0,,18.0,,,,
1,,,,,,19.0
2,,,,,12.0,
3,,,,,,11.0
4,,,,,12.0,
5,,,,,,17.0
6,,,,,12.0,
7,25.0,,,,,
8,,,,,,15.0
9,,,,,12.0,
10,,,,,16.0,
11,,,,,10.0,
12,,16.0,,,,
13,,,,,10.0,
14,13.0,,,,,
15,,,,,,11.0
16,19.0,,,,,
17,17.0,,,,,
18,,,,,,9.0
19,,,,,10.0,
20,,16.0,,,,
21,,,,,,9.0
22,,,,,,13.0
23,19.0,,,,,
24,11.0,,,,,
25,13.0,,,,,
26,,,,,,15.0
27,,,,,14.0,
28,,,,,,15.0
29,,,,,18.0,
30,,,,,,9.0
31,,,,,,15.0
32,,,,,14.0,
33,,,,,,11.0
34,11.0,,,,,
35,,,,,14.0,
36,,,,,20.0,
37,,20.0,,,,
38,,,,,20.0,
39,,,,,12.0,
40,,,,,14.0,
41,,,,,,11.0
42,,,,,,15.0
43,,,,,10.0,
44,,,,,26.0,
45,21.0,,,,,
46,,,,,,17.0
47,,,,,,11.0
48,,,,,,21.0
49,,,,,10.0,
