,FLAT_v1_started_FLAT_v1_won,UCT_1500_started_FLAT_v1_won,FLAT_v1_started_Tie,UCT_1500_started_Tie,FLAT_v1_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,,,,16.0,
1,,,,,16.0,
2,,,,,,11.0
3,11.0,,,,,
4,,,,,,13.0
5,,,,,,13.0
6,,,,,,13.0
7,,,,,14.0,
8,,,,,14.0,
9,,,,,14.0,
10,9.0,,,,,
11,,,,,28.0,
12,,,,,,21.0
13,9.0,,,,,
14,,,,,22.0,
15,,18.0,,,,
16,,,,,24.0,
17,,18.0,,,,
18,9.0,,,,,
19,9.0,,,,,
20,,,,,,17.0
21,17.0,,,,,
22,,,,,18.0,
23,,,,,,19.0
24,11.0,,,,,
25,,,,,,23.0
26,9.0,,,,,
27,9.0,,,,,
28,,,,,38.0,
29,,,,,,9.0
30,,,,,12.0,
31,,,,,22.0,
32,,,,,,9.0
33,,,,,12.0,
34,9.0,,,,,
35,,,,,,25.0
36,,,,,18.0,
37,,,,,,11.0
38,,,,,,19.0
39,13.0,,,,,
40,,,,,12.0,
41,,,,,,17.0
42,,,,,14.0,
43,15.0,,,,,
44,9.0,,,,,
45,,,,,34.0,
46,,,,,10.0,
47,,,,,,9.0
48,9.0,,,,,
49,9.0,,,,,
