,ZEROX_v2_started_ZEROX_v2_won,ZEROX_v4_started_ZEROX_v2_won,ZEROX_v2_started_Tie,ZEROX_v4_started_Tie,ZEROX_v2_started_ZEROX_v4_won,ZEROX_v4_started_ZEROX_v4_won
0,,,,,10.0,
1,,,,,14.0,
2,,,,,22.0,
3,,,,,14.0,
4,,,,,,19.0
5,,,,,14.0,
6,,,,,10.0,
7,,,,,18.0,
8,,,,,20.0,
9,,,64.0,,,
10,,,,,,21.0
11,,,,,12.0,
12,,,,,14.0,
13,,,,,16.0,
14,,,,,14.0,
15,,,64.0,,,
16,,,,,12.0,
17,,,,,12.0,
18,,,,,,25.0
19,,,,,,19.0
20,,,,,10.0,
21,,,,,12.0,
22,,,,,10.0,
23,,,,,10.0,
24,,,,,26.0,
25,,,,,18.0,
26,,,,,10.0,
27,,,64.0,,,
28,,,,,20.0,
29,,,,,12.0,
30,,16.0,,,,
31,,,,,,13.0
32,,,,,28.0,
33,,,,,24.0,
34,,,,,,21.0
35,,,,,,17.0
36,,,64.0,,,
37,,,,,22.0,
38,,16.0,,,,
39,,,64.0,,,
40,,,,,,23.0
41,,,,,12.0,
42,,,,,,9.0
43,,,,,10.0,
44,,,,,,17.0
45,,,,,16.0,
46,,,,,,39.0
47,11.0,,,,,
48,,,,,,15.0
49,,,,,,19.0
