,FLAT_v1_started_FLAT_v1_won,FLAT_v2_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v2_started_Tie,FLAT_v1_started_FLAT_v2_won,FLAT_v2_started_FLAT_v2_won
0,21.0,,,,,
1,,,,,12.0,
2,,,,,20.0,
3,,,,,10.0,
4,,,,,22.0,
5,,,,,22.0,
6,,54.0,,,,
7,,,,,,25.0
8,,,,,,13.0
9,,,,,18.0,
10,,,,,,17.0
11,,,,,,17.0
12,,,,,,21.0
13,,,,,12.0,
14,,,,,20.0,
15,,,,,,13.0
16,,,,,16.0,
17,,,,,20.0,
18,,,,,18.0,
19,,,,,12.0,
20,,,,,,19.0
21,,,,,,13.0
22,,,,,,17.0
23,,,,,14.0,
24,,,,,10.0,
25,,,,,,11.0
26,,,,,,11.0
27,,,,,16.0,
28,,,,,22.0,
29,,,,,24.0,
30,,,,,12.0,
31,,,,,,17.0
32,,,,,16.0,
33,17.0,,,,,
34,,,,,12.0,
35,,,,,10.0,
36,,,,,18.0,
37,,,,,16.0,
38,,,,,14.0,
39,,,,,24.0,
40,,,,,12.0,
41,,,,,12.0,
42,,,,,,9.0
43,,,,,24.0,
44,,,,,,9.0
45,,,,,,15.0
46,,,,,,21.0
47,,,,,,11.0
48,,,,,,9.0
49,,,,,,13.0
