,ZEROX_v5_started_ZEROX_v5_won,UCT_4500_started_ZEROX_v5_won,ZEROX_v5_started_Tie,UCT_4500_started_Tie,ZEROX_v5_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,,23.0
1,9.0,,,,,
2,,,,,,33.0
3,15.0,,,,,
4,9.0,,,,,
5,,,,,,27.0
6,17.0,,,,,
7,,,,,,29.0
8,,,,,,31.0
9,,,,,,31.0
10,27.0,,,,,
11,11.0,,,,,
12,9.0,,,,,
13,,,,,,41.0
14,,,,,,19.0
15,,,,,,15.0
16,9.0,,,,,
17,,,,,26.0,
18,,,,,24.0,
19,,10.0,,,,
20,,14.0,,,,
21,,,64.0,,,
22,,,,,,23.0
23,9.0,,,,,
24,,,,,28.0,
25,,,,,,37.0
26,,,64.0,,,
27,9.0,,,,,
28,,,,,,29.0
29,,,,,,27.0
30,,,,,,37.0
31,,,64.0,,,
32,,18.0,,,,
33,,24.0,,,,
34,,,,,,27.0
35,,24.0,,,,
36,,24.0,,,,
37,9.0,,,,,
38,,,,,,31.0
39,15.0,,,,,
40,,,64.0,,,
41,,,,,,23.0
42,,,,,46.0,
43,17.0,,,,,
44,,,64.0,,,
45,,,,,,19.0
46,,,64.0,,,
47,,,,,,35.0
48,,,64.0,,,
49,,,,,30.0,
