,FLAT_v1_started_FLAT_v1_won,ZEROX_v1_started_FLAT_v1_won,FLAT_v1_started_Tie,ZEROX_v1_started_Tie,FLAT_v1_started_ZEROX_v1_won,ZEROX_v1_started_ZEROX_v1_won
0,,,,,10.0,
1,,,,,,19.0
2,,,,,20.0,
3,,,,,16.0,
4,,,,,,15.0
5,,,,,18.0,
6,23.0,,,,,
7,,,,,14.0,
8,,,,,16.0,
9,,,,,,13.0
10,,,,,,13.0
11,,,,,,11.0
12,,,,,,47.0
13,,,,,,23.0
14,,,,,,11.0
15,,,,,,19.0
16,,,,,16.0,
17,,,,,,21.0
18,,,,,10.0,
19,,,,,12.0,
20,,,,,,55.0
21,,,,,14.0,
22,,,,,14.0,
23,,,,,,19.0
24,,,,,,53.0
25,,,,,,57.0
26,,,,,,11.0
27,,,,,,17.0
28,,,,,44.0,
29,,,,,28.0,
30,,,,,,17.0
31,,,,,,57.0
32,,,,,,13.0
33,,,,,,19.0
34,,,,,24.0,
35,,,,,14.0,
36,,,,,12.0,
37,,,,,,29.0
38,,,,,10.0,
39,,,,,22.0,
40,,,,,,15.0
41,,,,,,15.0
42,,,,,,13.0
43,,,,,,11.0
44,,,,,,17.0
45,,,,,10.0,
46,,,,,,53.0
47,,,,,12.0,
48,,,,,32.0,
49,,,,,12.0,
