,ZERO_v6_started_ZERO_v6_won,UCT_4500_started_ZERO_v6_won,ZERO_v6_started_Tie,UCT_4500_started_Tie,ZERO_v6_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,,21.0
1,,,,,,45.0
2,,,64.0,,,
3,,,,,,51.0
4,13.0,,,,,
5,19.0,,,,,
6,11.0,,,,,
7,,,,,26.0,
8,,,,64.0,,
9,21.0,,,,,
10,,,,,,49.0
11,11.0,,,,,
12,,10.0,,,,
13,29.0,,,,,
14,,,,,,21.0
15,,,,,34.0,
16,,,,,,27.0
17,,,,64.0,,
18,,,,,38.0,
19,,,,64.0,,
20,,,,,22.0,
21,13.0,,,,,
22,,,,,32.0,
23,,,,,,21.0
24,,,,,,21.0
25,,,,64.0,,
26,,,,,20.0,
27,,,,,38.0,
28,,,,,,25.0
29,,,,,,25.0
30,,22.0,,,,
31,13.0,,,,,
32,9.0,,,,,
33,15.0,,,,,
34,,26.0,,,,
35,,,,,,25.0
36,9.0,,,,,
37,,,,,,37.0
38,,,,,,29.0
39,,,,,,29.0
40,15.0,,,,,
41,9.0,,,,,
42,,,,,,33.0
43,,,,,,33.0
44,11.0,,,,,
45,,,,,26.0,
46,,,,,,19.0
47,,,,,34.0,
48,,,,,,19.0
49,,,,,,29.0
