,FLAT_v4_started_FLAT_v4_won,UCT_3000_started_FLAT_v4_won,FLAT_v4_started_Tie,UCT_3000_started_Tie,FLAT_v4_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,25.0,,,,,
1,,,,,28.0,
2,,,,,,21.0
3,15.0,,,,,
4,,20.0,,,,
5,,,,,,15.0
6,,,,,30.0,
7,,,,,,9.0
8,,,,,20.0,
9,9.0,,,,,
10,9.0,,,,,
11,9.0,,,,,
12,,,,,,11.0
13,,,,,40.0,
14,,,,,26.0,
15,19.0,,,,,
16,,,,,24.0,
17,11.0,,,,,
18,,18.0,,,,
19,11.0,,,,,
20,9.0,,,,,
21,,,,,,41.0
22,,,,,,11.0
23,,10.0,,,,
24,25.0,,,,,
25,,,,,,23.0
26,9.0,,,,,
27,21.0,,,,,
28,9.0,,,,,
29,,,,,20.0,
30,9.0,,,,,
31,,,,,36.0,
32,,14.0,,,,
33,11.0,,,,,
34,,,,,,21.0
35,9.0,,,,,
36,,,,,28.0,
37,,,,,,21.0
38,,,,,,21.0
39,,,,,20.0,
40,9.0,,,,,
41,,14.0,,,,
42,,,,,42.0,
43,,10.0,,,,
44,,,,,,23.0
45,,,,,,19.0
46,,,,,28.0,
47,,10.0,,,,
48,,,,,,33.0
49,,10.0,,,,
