,FLAT_v5_started_FLAT_v5_won,UCT_1500_started_FLAT_v5_won,FLAT_v5_started_Tie,UCT_1500_started_Tie,FLAT_v5_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,12.0,,,,
1,11.0,,,,,
2,,10.0,,,,
3,17.0,,,,,
4,15.0,,,,,
5,25.0,,,,,
6,9.0,,,,,
7,9.0,,,,,
8,,,,,,11.0
9,9.0,,,,,
10,,10.0,,,,
11,,16.0,,,,
12,,,,,,15.0
13,,,,,,19.0
14,9.0,,,,,
15,,20.0,,,,
16,,10.0,,,,
17,11.0,,,,,
18,,,,,30.0,
19,15.0,,,,,
20,11.0,,,,,
21,9.0,,,,,
22,9.0,,,,,
23,,24.0,,,,
24,9.0,,,,,
25,,12.0,,,,
26,,,,,,29.0
27,9.0,,,,,
28,,10.0,,,,
29,15.0,,,,,
30,,,,,,19.0
31,9.0,,,,,
32,19.0,,,,,
33,,12.0,,,,
34,,10.0,,,,
35,,10.0,,,,
36,,20.0,,,,
37,,,,,,19.0
38,,16.0,,,,
39,19.0,,,,,
40,,12.0,,,,
41,17.0,,,,,
42,,,,,,21.0
43,9.0,,,,,
44,,16.0,,,,
45,,10.0,,,,
46,,10.0,,,,
47,,,,,,9.0
48,25.0,,,,,
49,9.0,,,,,
