,ZEROX_v2_started_ZEROX_v2_won,UCT_1500_started_ZEROX_v2_won,ZEROX_v2_started_Tie,UCT_1500_started_Tie,ZEROX_v2_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,,,,,9.0
1,,,,,,13.0
2,,12.0,,,,
3,15.0,,,,,
4,,22.0,,,,
5,,,,,,11.0
6,11.0,,,,,
7,,,,,,21.0
8,,,,,,9.0
9,9.0,,,,,
10,11.0,,,,,
11,,10.0,,,,
12,,,,,,27.0
13,9.0,,,,,
14,,12.0,,,,
15,,,,,,19.0
16,,10.0,,,,
17,13.0,,,,,
18,,,,,,19.0
19,9.0,,,,,
20,9.0,,,,,
21,13.0,,,,,
22,,10.0,,,,
23,,,,,,31.0
24,9.0,,,,,
25,9.0,,,,,
26,,12.0,,,,
27,,,,,,35.0
28,13.0,,,,,
29,11.0,,,,,
30,11.0,,,,,
31,,10.0,,,,
32,11.0,,,,,
33,,,,,,17.0
34,13.0,,,,,
35,21.0,,,,,
36,,10.0,,,,
37,,,,,,19.0
38,,10.0,,,,
39,15.0,,,,,
40,,10.0,,,,
41,9.0,,,,,
42,9.0,,,,,
43,,,64.0,,,
44,,10.0,,,,
45,11.0,,,,,
46,,,,,,15.0
47,11.0,,,,,
48,,,,,18.0,
49,,14.0,,,,
