,ZERO_v1_started_ZERO_v1_won,ZERO_v5_started_ZERO_v1_won,ZERO_v1_started_Tie,ZERO_v5_started_Tie,ZERO_v1_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,,,,,,11.0
1,,,,64.0,,
2,,,,,,13.0
3,,,,,,13.0
4,23.0,,,,,
5,,,,,28.0,
6,,,,,12.0,
7,,,,,10.0,
8,,,,,,9.0
9,,,,,,11.0
10,,,,,,17.0
11,11.0,,,,,
12,,,,,,15.0
13,,,,,,13.0
14,,,,,,13.0
15,,,,,32.0,
16,,,,,10.0,
17,,,,,,13.0
18,,,,,12.0,
19,,,,,,9.0
20,,,64.0,,,
21,,,,,26.0,
22,31.0,,,,,
23,,,,,,9.0
24,,,,,10.0,
25,,,,,,11.0
26,,,,,,17.0
27,,,,,,35.0
28,,,,,,11.0
29,,,,,,25.0
30,,,,,12.0,
31,,,64.0,,,
32,,,,,,9.0
33,,,,,20.0,
34,,,,,22.0,
35,,,,,,15.0
36,,,,,40.0,
37,,,,,10.0,
38,,,,,12.0,
39,,,,,,15.0
40,,,,,20.0,
41,,,,,,9.0
42,,,,,,9.0
43,45.0,,,,,
44,23.0,,,,,
45,,,,,,11.0
46,,,,,14.0,
47,,,,,,13.0
48,,,,,48.0,
49,,,,,,13.0
