,FLAT_v3_started_FLAT_v3_won,UCT_4500_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_4500_started_Tie,FLAT_v3_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,,21.0
1,,12.0,,,,
2,13.0,,,,,
3,,,,,,13.0
4,15.0,,,,,
5,,,,,,9.0
6,,,,,,21.0
7,,,,,14.0,
8,,,,,,9.0
9,9.0,,,,,
10,,,,,16.0,
11,,,,,10.0,
12,,,,,,15.0
13,,,,,,9.0
14,,,,,,21.0
15,,,,,,13.0
16,,,,,,17.0
17,9.0,,,,,
18,,,,,32.0,
19,9.0,,,,,
20,,,,,,13.0
21,,,,,26.0,
22,15.0,,,,,
23,11.0,,,,,
24,,,,,,9.0
25,,,,,,19.0
26,,,,,,17.0
27,,,,,16.0,
28,9.0,,,,,
29,,,,,,17.0
30,,,,,,15.0
31,,,,,10.0,
32,15.0,,,,,
33,,,,,,21.0
34,,,,,12.0,
35,,,,,,9.0
36,,,,,,9.0
37,,,,,10.0,
38,,,,,18.0,
39,,,,,16.0,
40,,,,,,9.0
41,,,,,,19.0
42,,,,,52.0,
43,,,,,,23.0
44,,,,,,27.0
45,,,,,,23.0
46,,,,,,19.0
47,,,,,,19.0
48,,,,,,9.0
49,,,,,14.0,
