,ZEROX_v5_started_ZEROX_v5_won,UCT_6000_started_ZEROX_v5_won,ZEROX_v5_started_Tie,UCT_6000_started_Tie,ZEROX_v5_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,30.0,
1,13.0,,,,,
2,,,,,,21.0
3,,,64.0,,,
4,,10.0,,,,
5,,22.0,,,,
6,,,,,28.0,
7,,,64.0,,,
8,11.0,,,,,
9,,,64.0,,,
10,,10.0,,,,
11,,,,,,19.0
12,,,,,26.0,
13,,,,,28.0,
14,,,,,,33.0
15,,,,64.0,,
16,,10.0,,,,
17,,,,,,23.0
18,,,64.0,,,
19,19.0,,,,,
20,21.0,,,,,
21,,,,,,29.0
22,,,,,,29.0
23,,20.0,,,,
24,23.0,,,,,
25,,10.0,,,,
26,9.0,,,,,
27,,,64.0,,,
28,,,,,24.0,
29,,,,,30.0,
30,,,,,,33.0
31,,,,,40.0,
32,,,,,26.0,
33,11.0,,,,,
34,,,,,26.0,
35,,,,,24.0,
36,,,,,,21.0
37,,,,,,25.0
38,,,,,28.0,
39,,,,,,21.0
40,,,,,26.0,
41,,,,,,27.0
42,,,,,,35.0
43,,,,,18.0,
44,,,64.0,,,
45,,,,,,29.0
46,,,64.0,,,
47,,,,,38.0,
48,,,,,,19.0
49,,,,,,23.0
