,ZERO_v3_started_ZERO_v3_won,UCT_4500_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_4500_started_Tie,ZERO_v3_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,36.0,
1,,,,,,21.0
2,,,,,34.0,
3,9.0,,,,,
4,,,,,34.0,
5,,,,,,21.0
6,,,,,16.0,
7,,,,,14.0,
8,,,,,,13.0
9,,,,,24.0,
10,,,,,,25.0
11,9.0,,,,,
12,,,,,,17.0
13,,,,,,19.0
14,23.0,,,,,
15,,14.0,,,,
16,,,64.0,,,
17,,,,,,25.0
18,,,,,36.0,
19,9.0,,,,,
20,,,,,46.0,
21,,,,,20.0,
22,,,,,,13.0
23,,,,,,27.0
24,,,,,,15.0
25,,,,,,29.0
26,9.0,,,,,
27,,,,,,9.0
28,9.0,,,,,
29,,12.0,,,,
30,9.0,,,,,
31,27.0,,,,,
32,,,,,38.0,
33,,,,,,25.0
34,,,,,14.0,
35,,,,,,17.0
36,,,64.0,,,
37,,,,,18.0,
38,,,,,50.0,
39,,,,,44.0,
40,,,,,,17.0
41,,14.0,,,,
42,,,64.0,,,
43,,,64.0,,,
44,,,,,,15.0
45,,,,,,29.0
46,9.0,,,,,
47,,,,,,31.0
48,,,,,36.0,
49,9.0,,,,,
