,ZERO_v2_started_ZERO_v2_won,ZERO_v5_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v5_started_Tie,ZERO_v2_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,,,,,12.0,
1,,,,,48.0,
2,,,,,,23.0
3,,,,,12.0,
4,,,,,,29.0
5,,,,,,23.0
6,,,,,16.0,
7,,,,,12.0,
8,39.0,,,,,
9,13.0,,,,,
10,19.0,,,,,
11,,,,,,13.0
12,,,,,,25.0
13,,,,,,9.0
14,,,,,24.0,
15,,,,,14.0,
16,,,,,,19.0
17,15.0,,,,,
18,,,,,,15.0
19,,,,,,21.0
20,,,,,,9.0
21,,,,,,25.0
22,,,,,,9.0
23,,,,,18.0,
24,,,,,10.0,
25,,,,,,15.0
26,,,,,,9.0
27,27.0,,,,,
28,,,,,,35.0
29,39.0,,,,,
30,,,,,26.0,
31,,,,,16.0,
32,,,,,,13.0
33,,,64.0,,,
34,,,,,,13.0
35,,,,,14.0,
36,,,,,,17.0
37,,,,,16.0,
38,,,,,12.0,
39,,,,,,11.0
40,,,,,,19.0
41,,,,,,29.0
42,11.0,,,,,
43,17.0,,,,,
44,21.0,,,,,
45,,,,,24.0,
46,,,,,24.0,
47,,,,,,11.0
48,11.0,,,,,
49,17.0,,,,,
