,FLAT_v5_started_FLAT_v5_won,ZERO_v5_started_FLAT_v5_won,FLAT_v5_started_Tie,ZERO_v5_started_Tie,FLAT_v5_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,,,,,,19.0
1,,,,,,25.0
2,,16.0,,,,
3,,,,,,55.0
4,,,,,28.0,
5,,,,,,61.0
6,,,,,12.0,
7,,,,,,23.0
8,,,,,,61.0
9,,,,,,15.0
10,,,,,22.0,
11,,,,,16.0,
12,,,,,,11.0
13,,,,,,41.0
14,,,,,12.0,
15,,,,64.0,,
16,,,,,32.0,
17,17.0,,,,,
18,,,,,,53.0
19,,,,,32.0,
20,,,,,26.0,
21,,,,,,39.0
22,,,,,,11.0
23,,,,,,21.0
24,,,,,,33.0
25,,,,,,21.0
26,,,,,24.0,
27,,,,,,43.0
28,,,,,,15.0
29,,,,,,15.0
30,,,,,34.0,
31,,,,,20.0,
32,,,,,,27.0
33,,,,,36.0,
34,,,,,,27.0
35,,,,,30.0,
36,,,,,26.0,
37,,,,,,15.0
38,,,,,,31.0
39,,,,,14.0,
40,,,,64.0,,
41,,,,,,17.0
42,,,,,14.0,
43,,,,,,25.0
44,,,,,42.0,
45,,,,,14.0,
46,,,,,12.0,
47,,,,,16.0,
48,29.0,,,,,
49,,,,,30.0,
