,ZERO_v2_started_ZERO_v2_won,ZEROX_v2_started_ZERO_v2_won,ZERO_v2_started_Tie,ZEROX_v2_started_Tie,ZERO_v2_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,,,,,,19.0
1,15.0,,,,,
2,25.0,,,,,
3,,,,,,19.0
4,,,,,,19.0
5,,18.0,,,,
6,37.0,,,,,
7,,,,,12.0,
8,,18.0,,,,
9,17.0,,,,,
10,,,,,,11.0
11,,,,,14.0,
12,,,,,20.0,
13,,,,,18.0,
14,21.0,,,,,
15,,18.0,,,,
16,13.0,,,,,
17,,24.0,,,,
18,,,,,,37.0
19,19.0,,,,,
20,29.0,,,,,
21,,,,,30.0,
22,11.0,,,,,
23,,,,,,27.0
24,19.0,,,,,
25,,,,,20.0,
26,,,,,,9.0
27,15.0,,,,,
28,,,,,,21.0
29,,,,,,31.0
30,11.0,,,,,
31,31.0,,,,,
32,,,,,,23.0
33,,,,,,11.0
34,27.0,,,,,
35,,14.0,,,,
36,23.0,,,,,
37,,,,,22.0,
38,19.0,,,,,
39,,,,,,23.0
40,,,,,,45.0
41,17.0,,,,,
42,,28.0,,,,
43,,,,,12.0,
44,,,,,38.0,
45,,,,,,35.0
46,,,,,,13.0
47,17.0,,,,,
48,,14.0,,,,
49,,24.0,,,,
