,FLAT_v6_started_FLAT_v6_won,ZEROX_v6_started_FLAT_v6_won,FLAT_v6_started_Tie,ZEROX_v6_started_Tie,FLAT_v6_started_ZEROX_v6_won,ZEROX_v6_started_ZEROX_v6_won
0,,,,,,33.0
1,,,,,,11.0
2,,,,,18.0,
3,,,,,,15.0
4,,,,,,29.0
5,,,,,,15.0
6,,,,,,11.0
7,,,,,,27.0
8,41.0,,,,,
9,,,64.0,,,
10,,,,,,43.0
11,,,,,,11.0
12,,,,,,11.0
13,17.0,,,,,
14,,,,,,19.0
15,,,,,,15.0
16,,,,,,33.0
17,,,,,20.0,
18,,,,,,11.0
19,,,,,34.0,
20,,,,,,13.0
21,,,,,,15.0
22,21.0,,,,,
23,,32.0,,,,
24,31.0,,,,,
25,,,64.0,,,
26,,,,,,47.0
27,,,,,,37.0
28,,,,,,11.0
29,,,,,,41.0
30,,,,,,15.0
31,,,,,10.0,
32,,,64.0,,,
33,,,,,,11.0
34,,,,,,37.0
35,,,,,,25.0
36,,,,,,23.0
37,,,,,22.0,
38,23.0,,,,,
39,27.0,,,,,
40,,,,,,41.0
41,,,,,,21.0
42,,,,,20.0,
43,,,,,,17.0
44,25.0,,,,,
45,,,,,,17.0
46,,,,64.0,,
47,,,,,,17.0
48,,,64.0,,,
49,,,,64.0,,
