,ZEROX_v3_started_ZEROX_v3_won,ZEROX_v6_started_ZEROX_v3_won,ZEROX_v3_started_Tie,ZEROX_v6_started_Tie,ZEROX_v3_started_ZEROX_v6_won,ZEROX_v6_started_ZEROX_v6_won
0,,,,,,13.0
1,31.0,,,,,
2,,,,,28.0,
3,,,,,18.0,
4,,,,,38.0,
5,,,64.0,,,
6,,,,,10.0,
7,,,,,,25.0
8,,,,,24.0,
9,,,,,16.0,
10,,,,,,19.0
11,,,,,20.0,
12,,,,,,15.0
13,,,,,,23.0
14,,,,,12.0,
15,,,,,,13.0
16,,,,,,29.0
17,,,,,,9.0
18,53.0,,,,,
19,,,,,16.0,
20,,,,,12.0,
21,,,64.0,,,
22,,,,,,19.0
23,,,,,42.0,
24,,,,,10.0,
25,,,,,46.0,
26,,,,,,13.0
27,,,,,,47.0
28,,,,,,13.0
29,,,,,,15.0
30,,,,,32.0,
31,,,,,,15.0
32,27.0,,,,,
33,25.0,,,,,
34,,,,,,17.0
35,,,,,16.0,
36,,,,,,15.0
37,,,,,12.0,
38,,,,,,25.0
39,,,64.0,,,
40,,,,,,19.0
41,,,64.0,,,
42,,,,,30.0,
43,,,,,,9.0
44,,,64.0,,,
45,,,,,,23.0
46,,,,,10.0,
47,,,,,,9.0
48,13.0,,,,,
49,,,,,,25.0
