,FLAT_v4_started_FLAT_v4_won,FLAT_v6_started_FLAT_v4_won,FLAT_v4_started_Tie,FLAT_v6_started_Tie,FLAT_v4_started_FLAT_v6_won,FLAT_v6_started_FLAT_v6_won
0,,,,,,13.0
1,,,,64.0,,
2,,14.0,,,,
3,,14.0,,,,
4,,,,,34.0,
5,,14.0,,,,
6,23.0,,,,,
7,,36.0,,,,
8,,,,,18.0,
9,,,,,,13.0
10,29.0,,,,,
11,13.0,,,,,
12,,,,,,11.0
13,,,,,,13.0
14,,,,,,47.0
15,19.0,,,,,
16,27.0,,,,,
17,,,,,24.0,
18,,,,,16.0,
19,,,,,,11.0
20,,,64.0,,,
21,29.0,,,,,
22,,,,,14.0,
23,,,,,14.0,
24,27.0,,,,,
25,13.0,,,,,
26,37.0,,,,,
27,,,,,,15.0
28,,,,,16.0,
29,,,,,,15.0
30,,,,,30.0,
31,,,,,,13.0
32,,,,,14.0,
33,,,,,,15.0
34,,,,,,19.0
35,,,,,,11.0
36,,32.0,,,,
37,55.0,,,,,
38,21.0,,,,,
39,,,,,14.0,
40,,36.0,,,,
41,11.0,,,,,
42,33.0,,,,,
43,,,,,,15.0
44,,,,,24.0,
45,,,64.0,,,
46,,34.0,,,,
47,,,,,10.0,
48,33.0,,,,,
49,,,,,18.0,
