,ZEROX_v5_started_ZEROX_v5_won,ZEROX_v6_started_ZEROX_v5_won,ZEROX_v5_started_Tie,ZEROX_v6_started_Tie,ZEROX_v5_started_ZEROX_v6_won,ZEROX_v6_started_ZEROX_v6_won
0,,,,,,23.0
1,,,,,,19.0
2,,,,,34.0,
3,,,,,,9.0
4,,,,,,17.0
5,,,64.0,,,
6,,,,,,23.0
7,37.0,,,,,
8,,20.0,,,,
9,,,64.0,,,
10,37.0,,,,,
11,,,64.0,,,
12,,,,64.0,,
13,,,,,42.0,
14,,,,,50.0,
15,,,64.0,,,
16,,,,64.0,,
17,31.0,,,,,
18,,,,,30.0,
19,15.0,,,,,
20,,,,64.0,,
21,,,64.0,,,
22,,,,,32.0,
23,,,64.0,,,
24,,,64.0,,,
25,,,64.0,,,
26,,,,,,31.0
27,,,64.0,,,
28,,,64.0,,,
29,,16.0,,,,
30,,,64.0,,,
31,41.0,,,,,
32,,,,,,39.0
33,,,,,,19.0
34,,,,,,21.0
35,,30.0,,,,
36,,,64.0,,,
37,,,,,,29.0
38,,46.0,,,,
39,,,,,,33.0
40,,,,,40.0,
41,,,,64.0,,
42,,,,,,31.0
43,,,,,,23.0
44,,,,,,23.0
45,,,64.0,,,
46,,,64.0,,,
47,15.0,,,,,
48,,,64.0,,,
49,,,64.0,,,
