,FLAT_v6_started_FLAT_v6_won,UCT_1500_started_FLAT_v6_won,FLAT_v6_started_Tie,UCT_1500_started_Tie,FLAT_v6_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,11.0,,,,,
1,9.0,,,,,
2,,10.0,,,,
3,9.0,,,,,
4,11.0,,,,,
5,9.0,,,,,
6,,,,,30.0,
7,,10.0,,,,
8,,,,,46.0,
9,,,,,,19.0
10,,,,,24.0,
11,25.0,,,,,
12,9.0,,,,,
13,9.0,,,,,
14,,,,,,9.0
15,,10.0,,,,
16,,,,,,29.0
17,,,,,,17.0
18,19.0,,,,,
19,,10.0,,,,
20,11.0,,,,,
21,9.0,,,,,
22,9.0,,,,,
23,,,,,,35.0
24,,10.0,,,,
25,17.0,,,,,
26,,,,,,15.0
27,,12.0,,,,
28,,10.0,,,,
29,9.0,,,,,
30,,10.0,,,,
31,,,,,,9.0
32,,22.0,,,,
33,,18.0,,,,
34,,,,,,39.0
35,,,,,,23.0
36,,,,,16.0,
37,9.0,,,,,
38,,16.0,,,,
39,11.0,,,,,
40,9.0,,,,,
41,,,,,16.0,
42,,10.0,,,,
43,,10.0,,,,
44,19.0,,,,,
45,,,,,,51.0
46,,10.0,,,,
47,,10.0,,,,
48,9.0,,,,,
49,,,,,,33.0
