,ZEROX_v6_started_ZEROX_v6_won,UCT_1500_started_ZEROX_v6_won,ZEROX_v6_started_Tie,UCT_1500_started_Tie,ZEROX_v6_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,9.0,,,,,
1,,10.0,,,,
2,9.0,,,,,
3,,,,,,37.0
4,9.0,,,,,
5,,10.0,,,,
6,,10.0,,,,
7,,10.0,,,,
8,,,64.0,,,
9,17.0,,,,,
10,11.0,,,,,
11,11.0,,,,,
12,,14.0,,,,
13,,,,,,23.0
14,9.0,,,,,
15,9.0,,,,,
16,15.0,,,,,
17,9.0,,,,,
18,9.0,,,,,
19,,22.0,,,,
20,,20.0,,,,
21,,,,,,27.0
22,,16.0,,,,
23,9.0,,,,,
24,11.0,,,,,
25,,10.0,,,,
26,9.0,,,,,
27,15.0,,,,,
28,15.0,,,,,
29,,10.0,,,,
30,17.0,,,,,
31,,20.0,,,,
32,,18.0,,,,
33,9.0,,,,,
34,,12.0,,,,
35,,,,,,23.0
36,15.0,,,,,
37,,10.0,,,,
38,,,,64.0,,
39,19.0,,,,,
40,,10.0,,,,
41,9.0,,,,,
42,23.0,,,,,
43,,10.0,,,,
44,,14.0,,,,
45,9.0,,,,,
46,17.0,,,,,
47,,10.0,,,,
48,,,64.0,,,
49,,10.0,,,,
