,ZERO_v4_started_ZERO_v4_won,ZERO_v6_started_ZERO_v4_won,ZERO_v4_started_Tie,ZERO_v6_started_Tie,ZERO_v4_started_ZERO_v6_won,ZERO_v6_started_ZERO_v6_won
0,,,,,20.0,
1,,,64.0,,,
2,,,,,10.0,
3,,,,64.0,,
4,27.0,,,,,
5,19.0,,,,,
6,,,,,,17.0
7,,,,,10.0,
8,,,,64.0,,
9,,,,64.0,,
10,,,,,,17.0
11,,,,,,15.0
12,,,,,44.0,
13,47.0,,,,,
14,21.0,,,,,
15,,,,64.0,,
16,,,,,,57.0
17,,30.0,,,,
18,,16.0,,,,
19,,,,,,27.0
20,,,,,18.0,
21,23.0,,,,,
22,41.0,,,,,
23,,,,,,31.0
24,,,,,34.0,
25,,,64.0,,,
26,,,,,,15.0
27,33.0,,,,,
28,39.0,,,,,
29,37.0,,,,,
30,,,,,28.0,
31,,,,,,19.0
32,,,,,18.0,
33,35.0,,,,,
34,49.0,,,,,
35,,,,,24.0,
36,,,,,18.0,
37,29.0,,,,,
38,,,,,,39.0
39,,,,,,23.0
40,25.0,,,,,
41,,,,64.0,,
42,39.0,,,,,
43,,,,64.0,,
44,25.0,,,,,
45,,,64.0,,,
46,,,,,,29.0
47,,,,,,11.0
48,,,,,,19.0
49,,,,,,11.0
