,FLAT_v1_started_FLAT_v1_won,ZERO_v1_started_FLAT_v1_won,FLAT_v1_started_Tie,ZERO_v1_started_Tie,FLAT_v1_started_ZERO_v1_won,ZERO_v1_started_ZERO_v1_won
0,25.0,,,,,
1,,,,,,61.0
2,,,,,16.0,
3,,,,,16.0,
4,,,,,12.0,
5,,,,,,11.0
6,,,,,14.0,
7,,,,,,23.0
8,,,,,12.0,
9,,,,,42.0,
10,,,,,16.0,
11,,,,,16.0,
12,,,,,10.0,
13,,,,,16.0,
14,,,,,16.0,
15,,34.0,,,,
16,,,,,,15.0
17,,,,,22.0,
18,,,,,,49.0
19,,,,,,19.0
20,,,,,16.0,
21,,,,,,13.0
22,,,,,,13.0
23,,,,,10.0,
24,,,,,,23.0
25,,,,,24.0,
26,,,,,12.0,
27,,,,,,23.0
28,,,,,26.0,
29,,,,,,21.0
30,,18.0,,,,
31,,,,,16.0,
32,,,,,,33.0
33,,,,,28.0,
34,,,,,24.0,
35,,,,,,13.0
36,,,,,,19.0
37,,,,,,13.0
38,,,,,,15.0
39,,,,,,31.0
40,,,,,14.0,
41,,,,,18.0,
42,,,,,22.0,
43,,,,,,11.0
44,,,,,,19.0
45,,,,,10.0,
46,,,,,22.0,
47,,,,,,9.0
48,,,,,,21.0
49,,,,,16.0,
