,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v3_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v3_started_Tie,ZEROX_v1_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,,,,,,13.0
1,,,,,28.0,
2,,,,,,9.0
3,41.0,,,,,
4,,,,,10.0,
5,,30.0,,,,
6,,,,,14.0,
7,,,,,,27.0
8,,,,,,11.0
9,,,,,,11.0
10,,,,,,11.0
11,,,,,,11.0
12,,,,,44.0,
13,,,,,20.0,
14,,,,,,13.0
15,,,,,14.0,
16,,,,,44.0,
17,,,,,12.0,
18,,,,,,25.0
19,,,64.0,,,
20,,,,,10.0,
21,33.0,,,,,
22,,,,,12.0,
23,,,,,,11.0
24,,,,,10.0,
25,,,,,14.0,
26,,,,,,15.0
27,,,,,,11.0
28,,,,,28.0,
29,,,,,,11.0
30,,24.0,,,,
31,,,,,16.0,
32,,,,,,47.0
33,,,,,,11.0
34,,,,,,19.0
35,,,,,,11.0
36,,,,,,49.0
37,,,,,,13.0
38,,,,,16.0,
39,,,,,14.0,
40,,,,,22.0,
41,,,,,16.0,
42,21.0,,,,,
43,,,64.0,,,
44,,,,,,17.0
45,,,,,40.0,
46,15.0,,,,,
47,,,,,,11.0
48,,,,,,17.0
49,21.0,,,,,
