,ZEROX_v5_started_ZEROX_v5_won,UCT_3000_started_ZEROX_v5_won,ZEROX_v5_started_Tie,UCT_3000_started_Tie,ZEROX_v5_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,22.0,,,,
1,,14.0,,,,
2,,14.0,,,,
3,29.0,,,,,
4,,10.0,,,,
5,,,64.0,,,
6,,,,,,19.0
7,,,64.0,,,
8,,,64.0,,,
9,17.0,,,,,
10,,,64.0,,,
11,,,,,34.0,
12,,,,,,33.0
13,,,64.0,,,
14,,,64.0,,,
15,,,,,,23.0
16,15.0,,,,,
17,,,,,,25.0
18,,24.0,,,,
19,17.0,,,,,
20,,,64.0,,,
21,,,,,,17.0
22,,,,,26.0,
23,,18.0,,,,
24,,,,,,41.0
25,21.0,,,,,
26,,,,,32.0,
27,23.0,,,,,
28,,,,,,43.0
29,,24.0,,,,
30,,,64.0,,,
31,,,,,,21.0
32,,,,,30.0,
33,,30.0,,,,
34,,,,,,17.0
35,,,64.0,,,
36,,10.0,,,,
37,9.0,,,,,
38,,,,,16.0,
39,,,,,,43.0
40,,,,,,33.0
41,,10.0,,,,
42,23.0,,,,,
43,,,,,,29.0
44,,,,,,19.0
45,,,64.0,,,
46,,10.0,,,,
47,13.0,,,,,
48,31.0,,,,,
49,,10.0,,,,
