,ZERO_v2_started_ZERO_v2_won,ZERO_v3_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v3_started_Tie,ZERO_v2_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,15.0,,,,,
1,,,,,,9.0
2,,,,,,19.0
3,,,,,12.0,
4,,,,,14.0,
5,15.0,,,,,
6,,,,,,21.0
7,,,,,20.0,
8,,,,,18.0,
9,,,,,,21.0
10,,,,,24.0,
11,,,,,14.0,
12,,,,,,13.0
13,13.0,,,,,
14,,,,,,17.0
15,,,,,,25.0
16,,,,,,19.0
17,,,,,,25.0
18,,12.0,,,,
19,,,,,,21.0
20,,,,,12.0,
21,,,64.0,,,
22,,,,,18.0,
23,,,,,16.0,
24,,,,,,11.0
25,,,64.0,,,
26,,,,,14.0,
27,,,,,,9.0
28,,,,,16.0,
29,,,,,,11.0
30,,,,,18.0,
31,,,,,12.0,
32,,,,,22.0,
33,23.0,,,,,
34,,,,,,15.0
35,,,64.0,,,
36,,,,,,11.0
37,,,,,,9.0
38,,,,,,27.0
39,,,64.0,,,
40,,10.0,,,,
41,,,,,,29.0
42,,,,,,11.0
43,,,,,10.0,
44,,,,,,15.0
45,,,,,,13.0
46,,,,,20.0,
47,,,,,,11.0
48,,,,,22.0,
49,,,,,,13.0
