,ZERO_v5_started_ZERO_v5_won,ZEROX_v5_started_ZERO_v5_won,ZERO_v5_started_Tie,ZEROX_v5_started_Tie,ZERO_v5_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,,17.0
1,,38.0,,,,
2,,,,,,23.0
3,23.0,,,,,
4,23.0,,,,,
5,,42.0,,,,
6,,,,,,27.0
7,15.0,,,,,
8,,34.0,,,,
9,,,,,,27.0
10,,,64.0,,,
11,,,,,,61.0
12,,,,,,29.0
13,,16.0,,,,
14,17.0,,,,,
15,,,,,16.0,
16,,22.0,,,,
17,31.0,,,,,
18,13.0,,,,,
19,,,,,16.0,
20,,,,,26.0,
21,29.0,,,,,
22,,,,,28.0,
23,,,,,32.0,
24,17.0,,,,,
25,,,,,14.0,
26,,,,,30.0,
27,,,,,,19.0
28,23.0,,,,,
29,15.0,,,,,
30,,,,,,33.0
31,45.0,,,,,
32,39.0,,,,,
33,,,,,,21.0
34,11.0,,,,,
35,,,,,32.0,
36,,,,,,29.0
37,,,,,18.0,
38,59.0,,,,,
39,,,,,,49.0
40,,18.0,,,,
41,,,,,,31.0
42,,,,,,45.0
43,,,,64.0,,
44,,,,,,27.0
45,,18.0,,,,
46,19.0,,,,,
47,17.0,,,,,
48,,32.0,,,,
49,27.0,,,,,
