,FLAT_v4_started_FLAT_v4_won,UCT_6000_started_FLAT_v4_won,FLAT_v4_started_Tie,UCT_6000_started_Tie,FLAT_v4_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,9.0,,,,,
1,,,,,18.0,
2,,10.0,,,,
3,,12.0,,,,
4,,,,,,43.0
5,,,,,30.0,
6,19.0,,,,,
7,,,,,30.0,
8,,,,,,17.0
9,,,,,,17.0
10,,,,,,41.0
11,,,,,,19.0
12,,,,,,17.0
13,,,,,,29.0
14,21.0,,,,,
15,,,,,,13.0
16,,,,,,15.0
17,17.0,,,,,
18,,,,,16.0,
19,,,,,16.0,
20,,,,,54.0,
21,,,,,32.0,
22,,,,,36.0,
23,,,,,16.0,
24,,16.0,,,,
25,,10.0,,,,
26,,10.0,,,,
27,,,,,,17.0
28,15.0,,,,,
29,,,,,,27.0
30,9.0,,,,,
31,,,,,18.0,
32,,,,,,13.0
33,,,,,22.0,
34,,,,,,11.0
35,,,,,,23.0
36,,10.0,,,,
37,15.0,,,,,
38,,,,,30.0,
39,,,,,,27.0
40,9.0,,,,,
41,9.0,,,,,
42,,,,,14.0,
43,,,,,16.0,
44,,,,,,47.0
45,,,,,,35.0
46,,,,,,19.0
47,,,,,30.0,
48,15.0,,,,,
49,,,,,,19.0
