,ZEROX_v4_started_ZEROX_v4_won,UCT_3000_started_ZEROX_v4_won,ZEROX_v4_started_Tie,UCT_3000_started_Tie,ZEROX_v4_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,15.0,,,,,
1,9.0,,,,,
2,,,,64.0,,
3,,,,,,33.0
4,,,,,26.0,
5,15.0,,,,,
6,,,,,,33.0
7,,,,,38.0,
8,9.0,,,,,
9,13.0,,,,,
10,,16.0,,,,
11,,,,,,33.0
12,11.0,,,,,
13,,,,,,37.0
14,17.0,,,,,
15,9.0,,,,,
16,,,,,,21.0
17,,,,64.0,,
18,,,,,42.0,
19,9.0,,,,,
20,,,,,,11.0
21,,,,,,25.0
22,27.0,,,,,
23,,18.0,,,,
24,,,64.0,,,
25,9.0,,,,,
26,,,,,,27.0
27,,,,,,43.0
28,,10.0,,,,
29,33.0,,,,,
30,,,,,26.0,
31,,,,,,19.0
32,,,,,,23.0
33,,12.0,,,,
34,,,,,40.0,
35,,,,,,27.0
36,9.0,,,,,
37,11.0,,,,,
38,13.0,,,,,
39,15.0,,,,,
40,,,,,,31.0
41,,18.0,,,,
42,11.0,,,,,
43,9.0,,,,,
44,9.0,,,,,
45,,,64.0,,,
46,,12.0,,,,
47,,16.0,,,,
48,17.0,,,,,
49,,,,64.0,,
