,ZEROX_v3_started_ZEROX_v3_won,UCT_4500_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_4500_started_Tie,ZEROX_v3_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,,17.0
1,,14.0,,,,
2,,,,,32.0,
3,,,,,30.0,
4,,,,,,31.0
5,,,64.0,,,
6,,,,,16.0,
7,,,,,,23.0
8,,,,,,15.0
9,,,,,,25.0
10,9.0,,,,,
11,,,,,,39.0
12,,,,,16.0,
13,,,,,,25.0
14,,,,,,25.0
15,,,,,26.0,
16,,,,,24.0,
17,,,,,,15.0
18,9.0,,,,,
19,,,,,,25.0
20,,,,,24.0,
21,,,,,,17.0
22,9.0,,,,,
23,11.0,,,,,
24,,,,,,19.0
25,,,,,,47.0
26,,,,,42.0,
27,,,,,,23.0
28,,,,,26.0,
29,,,64.0,,,
30,9.0,,,,,
31,,,,,42.0,
32,,10.0,,,,
33,,,,,,33.0
34,9.0,,,,,
35,15.0,,,,,
36,,14.0,,,,
37,,,,,,13.0
38,15.0,,,,,
39,,,,,22.0,
40,,,,,,25.0
41,,,,,40.0,
42,,,,,,15.0
43,,,,,,23.0
44,,10.0,,,,
45,,,,,,31.0
46,9.0,,,,,
47,,,,,,19.0
48,9.0,,,,,
49,,,64.0,,,
