,ZERO_v4_started_ZERO_v4_won,ZERO_v5_started_ZERO_v4_won,ZERO_v4_started_Tie,ZERO_v5_started_Tie,ZERO_v4_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,29.0,,,,,
1,19.0,,,,,
2,35.0,,,,,
3,37.0,,,,,
4,,,,64.0,,
5,,,,64.0,,
6,51.0,,,,,
7,,,,64.0,,
8,29.0,,,,,
9,11.0,,,,,
10,,36.0,,,,
11,,38.0,,,,
12,,,,,,11.0
13,,,,64.0,,
14,,14.0,,,,
15,,,,64.0,,
16,,,,64.0,,
17,,,,,,49.0
18,,,,64.0,,
19,,,,64.0,,
20,35.0,,,,,
21,,,,64.0,,
22,23.0,,,,,
23,,,,64.0,,
24,,36.0,,,,
25,,,,64.0,,
26,,30.0,,,,
27,19.0,,,,,
28,,,,64.0,,
29,,,,,40.0,
30,27.0,,,,,
31,,,,64.0,,
32,19.0,,,,,
33,,40.0,,,,
34,53.0,,,,,
35,,,,64.0,,
36,,,,64.0,,
37,,,,,,19.0
38,21.0,,,,,
39,31.0,,,,,
40,,,,64.0,,
41,,,,,,15.0
42,,,,64.0,,
43,,,,64.0,,
44,47.0,,,,,
45,,,,,,37.0
46,,34.0,,,,
47,,,,64.0,,
48,,,,64.0,,
49,,,,,,29.0
