,FLAT_v1_started_FLAT_v1_won,FLAT_v4_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v4_started_Tie,FLAT_v1_started_FLAT_v4_won,FLAT_v4_started_FLAT_v4_won
0,,,,,14.0,
1,,,,,,11.0
2,,,,,14.0,
3,,,,,10.0,
4,,,,,,11.0
5,,,,,14.0,
6,,,,,12.0,
7,41.0,,,,,
8,,,,,18.0,
9,,,,,16.0,
10,,,,,,11.0
11,,,,,,11.0
12,,,,,12.0,
13,,,,,14.0,
14,,,,,,11.0
15,,,,,,15.0
16,,,,,16.0,
17,13.0,,,,,
18,,,,,,9.0
19,,,,,,15.0
20,,,,,14.0,
21,,,,,,11.0
22,,,,,10.0,
23,,,,,14.0,
24,,,,,10.0,
25,,,,,14.0,
26,,,,,34.0,
27,,,,,,13.0
28,,,,,10.0,
29,,,,,,13.0
30,,,,,16.0,
31,11.0,,,,,
32,,,,,,13.0
33,,,,,,9.0
34,13.0,,,,,
35,,,,,14.0,
36,,,,,,9.0
37,,,,,,9.0
38,,,,,12.0,
39,,,,,,11.0
40,,,,,,9.0
41,,,,,,15.0
42,,,,,,15.0
43,,,,,,9.0
44,,,,,,13.0
45,,,,,,13.0
46,,,,,,15.0
47,,,,,14.0,
48,,,,,14.0,
49,,,,,,13.0
