,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v5_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v5_started_Tie,ZEROX_v1_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,64.0,,,
1,,,,,12.0,
2,,,,,,13.0
3,,,,,10.0,
4,,,,,14.0,
5,,,,,,9.0
6,,,,,,11.0
7,,,,,16.0,
8,,,,,10.0,
9,,,,,18.0,
10,,,,,14.0,
11,,20.0,,,,
12,,,,,,25.0
13,,,,,22.0,
14,,,,,,9.0
15,,,,,,13.0
16,,,,,,13.0
17,,,,,,9.0
18,,,,,,15.0
19,,,,,12.0,
20,,,,,,11.0
21,,,,,12.0,
22,,,64.0,,,
23,,,,,,13.0
24,,,,,,27.0
25,,,,,,27.0
26,,,,,,13.0
27,,,,,,15.0
28,31.0,,,,,
29,,,,,14.0,
30,,,,,,11.0
31,,,,,10.0,
32,,,64.0,,,
33,,,,,10.0,
34,,,,,,13.0
35,,,,,14.0,
36,,,,,,23.0
37,,,,,,11.0
38,,22.0,,,,
39,,,,,12.0,
40,,,,,12.0,
41,,,,,,11.0
42,,,,,,17.0
43,,,,,,9.0
44,,,,,,13.0
45,,,,,,11.0
46,,,,,,9.0
47,,,,,,11.0
48,,,,,,25.0
49,,,,,16.0,
