,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v2_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v2_started_Tie,ZEROX_v1_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,,14.0,,,,
1,17.0,,,,,
2,,,,,14.0,
3,,,,,12.0,
4,,,,,16.0,
5,,,,,18.0,
6,,,,,,9.0
7,,,,,12.0,
8,,,,,16.0,
9,31.0,,,,,
10,,20.0,,,,
11,11.0,,,,,
12,,,,,10.0,
13,,,,,,37.0
14,,,,,,13.0
15,,,,,16.0,
16,,,,,16.0,
17,,,,,,15.0
18,,,,,16.0,
19,11.0,,,,,
20,,,,,26.0,
21,,,,,,15.0
22,,,,,10.0,
23,,20.0,,,,
24,,,,,,11.0
25,,,,,14.0,
26,,,,64.0,,
27,,,,,,15.0
28,,22.0,,,,
29,,48.0,,,,
30,,,,,16.0,
31,,,,,10.0,
32,,,,,,21.0
33,29.0,,,,,
34,,,,,14.0,
35,,,,,10.0,
36,,,,,20.0,
37,,,,,12.0,
38,,,,,10.0,
39,,,,64.0,,
40,,20.0,,,,
41,,,,,10.0,
42,,,,,,9.0
43,,,,,12.0,
44,49.0,,,,,
45,29.0,,,,,
46,,,,,,15.0
47,,,,,,11.0
48,,,,,,11.0
49,,,,,,15.0
