,ZERO_v6_started_ZERO_v6_won,ZEROX_v6_started_ZERO_v6_won,ZERO_v6_started_Tie,ZEROX_v6_started_Tie,ZERO_v6_started_ZEROX_v6_won,ZEROX_v6_started_ZEROX_v6_won
0,19.0,,,,,
1,,,64.0,,,
2,19.0,,,,,
3,19.0,,,,,
4,21.0,,,,,
5,,,,,,19.0
6,,,,,,25.0
7,29.0,,,,,
8,,,,,,21.0
9,27.0,,,,,
10,,,,64.0,,
11,,30.0,,,,
12,,24.0,,,,
13,27.0,,,,,
14,23.0,,,,,
15,,,,,,23.0
16,21.0,,,,,
17,,,,,,25.0
18,13.0,,,,,
19,,,,,32.0,
20,23.0,,,,,
21,,,,,,19.0
22,,,,,,29.0
23,,,,,,17.0
24,,,,64.0,,
25,,,,64.0,,
26,,14.0,,,,
27,27.0,,,,,
28,23.0,,,,,
29,,,,,,11.0
30,,24.0,,,,
31,,,,,,21.0
32,,26.0,,,,
33,,,,,34.0,
34,,36.0,,,,
35,,,,,20.0,
36,,32.0,,,,
37,25.0,,,,,
38,,26.0,,,,
39,21.0,,,,,
40,,,,,,29.0
41,,,,,,47.0
42,,,,,,23.0
43,,,,,,11.0
44,,,,,,13.0
45,,,,,,17.0
46,,,,,,27.0
47,,,,,22.0,
48,25.0,,,,,
49,,,,,,47.0
