,FLAT_v2_started_FLAT_v2_won,UCT_1500_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_1500_started_Tie,FLAT_v2_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,,,,,11.0
1,,,,,,17.0
2,9.0,,,,,
3,13.0,,,,,
4,,,,,,19.0
5,,12.0,,,,
6,19.0,,,,,
7,,,,,,15.0
8,11.0,,,,,
9,,,,,,17.0
10,9.0,,,,,
11,11.0,,,,,
12,,,,,,15.0
13,,,,,10.0,
14,,16.0,,,,
15,,10.0,,,,
16,,,,,,15.0
17,,,,,,17.0
18,,10.0,,,,
19,,,,,,15.0
20,,12.0,,,,
21,,,,,,13.0
22,13.0,,,,,
23,9.0,,,,,
24,9.0,,,,,
25,,,,,16.0,
26,9.0,,,,,
27,,,,,14.0,
28,,10.0,,,,
29,,10.0,,,,
30,,,,,14.0,
31,,,,,26.0,
32,,,,,18.0,
33,,20.0,,,,
34,9.0,,,,,
35,,,,,10.0,
36,,,,,,15.0
37,,10.0,,,,
38,,,,,,19.0
39,,,,,,23.0
40,11.0,,,,,
41,9.0,,,,,
42,,24.0,,,,
43,11.0,,,,,
44,,10.0,,,,
45,,12.0,,,,
46,17.0,,,,,
47,,10.0,,,,
48,,10.0,,,,
49,,,,,,15.0
