,FLAT_v2_started_FLAT_v2_won,UCT_3000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_3000_started_Tie,FLAT_v2_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,14.0,,,,
1,,18.0,,,,
2,11.0,,,,,
3,11.0,,,,,
4,,,,,,19.0
5,,,,,,9.0
6,,,,,16.0,
7,,10.0,,,,
8,,,,,36.0,
9,,,,,,13.0
10,,,,,16.0,
11,,,,,,13.0
12,,,,,,27.0
13,,,,,,9.0
14,,,,,,17.0
15,,,,,,9.0
16,,,,,10.0,
17,,,,,,19.0
18,,,,,,15.0
19,,,,,,9.0
20,,,,,18.0,
21,,,,,22.0,
22,,,,,,11.0
23,9.0,,,,,
24,9.0,,,,,
25,,,,,16.0,
26,,,,,28.0,
27,,,,,,11.0
28,9.0,,,,,
29,,12.0,,,,
30,,,,,10.0,
31,,,,,,15.0
32,,,,,,39.0
33,,,,,,17.0
34,,,,,26.0,
35,,,,,,13.0
36,,,,,16.0,
37,,,,,,9.0
38,,,,,,13.0
39,,,,,24.0,
40,,10.0,,,,
41,,,,,,15.0
42,,,,,,9.0
43,,,,,,21.0
44,,,,,,17.0
45,11.0,,,,,
46,,,,,,9.0
47,,16.0,,,,
48,,,,,18.0,
49,,,,,16.0,
