,ZEROX_v4_started_ZEROX_v4_won,UCT_6000_started_ZEROX_v4_won,ZEROX_v4_started_Tie,UCT_6000_started_Tie,ZEROX_v4_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,21.0
1,,,,,,23.0
2,,,64.0,,,
3,,,,,,19.0
4,,,,,52.0,
5,,26.0,,,,
6,,,,,44.0,
7,,14.0,,,,
8,,,,,42.0,
9,,,,,,29.0
10,,,,64.0,,
11,,,,64.0,,
12,,10.0,,,,
13,,,,,,39.0
14,,14.0,,,,
15,11.0,,,,,
16,,,,,,25.0
17,,,,,,35.0
18,,,,,30.0,
19,,,64.0,,,
20,21.0,,,,,
21,,,64.0,,,
22,,,,,,41.0
23,,10.0,,,,
24,,,,64.0,,
25,,,,,32.0,
26,,,,,,25.0
27,,,,,30.0,
28,,10.0,,,,
29,,,,,,33.0
30,,,64.0,,,
31,17.0,,,,,
32,,,,,26.0,
33,,,,,30.0,
34,,,,,48.0,
35,,,,,,23.0
36,19.0,,,,,
37,11.0,,,,,
38,,,,,,37.0
39,25.0,,,,,
40,,,,,,33.0
41,,,,,30.0,
42,,,,,,17.0
43,29.0,,,,,
44,17.0,,,,,
45,,,,,,9.0
46,,18.0,,,,
47,,,,,42.0,
48,,,,,,31.0
49,13.0,,,,,
