,ZERO_v1_started_ZERO_v1_won,UCT_1500_started_ZERO_v1_won,ZERO_v1_started_Tie,UCT_1500_started_Tie,ZERO_v1_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,,,,,13.0
1,25.0,,,,,
2,9.0,,,,,
3,,22.0,,,,
4,11.0,,,,,
5,,,,,10.0,
6,,,,,,13.0
7,9.0,,,,,
8,9.0,,,,,
9,,22.0,,,,
10,,,,,,15.0
11,,,,,,23.0
12,,,,,,27.0
13,,,,,,11.0
14,,,,,,17.0
15,19.0,,,,,
16,13.0,,,,,
17,,,,64.0,,
18,9.0,,,,,
19,,,,,,21.0
20,,,,,,13.0
21,,,,,,13.0
22,,,,,18.0,
23,11.0,,,,,
24,,,,,,9.0
25,9.0,,,,,
26,9.0,,,,,
27,,,,,34.0,
28,,,,,,31.0
29,,20.0,,,,
30,,14.0,,,,
31,,,,,,9.0
32,9.0,,,,,
33,,12.0,,,,
34,9.0,,,,,
35,,,,,,13.0
36,,,,,,17.0
37,,12.0,,,,
38,,,,,,11.0
39,,,,,,11.0
40,,,,,,21.0
41,,12.0,,,,
42,,26.0,,,,
43,,,,,,9.0
44,9.0,,,,,
45,,,,,22.0,
46,,,,,,13.0
47,,,,,10.0,
48,,16.0,,,,
49,13.0,,,,,
