,FLAT_v4_started_FLAT_v4_won,UCT_4500_started_FLAT_v4_won,FLAT_v4_started_Tie,UCT_4500_started_Tie,FLAT_v4_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,18.0,
1,,,,,,23.0
2,,,,,22.0,
3,,,,,20.0,
4,,,,,26.0,
5,,,,,,15.0
6,,,,,18.0,
7,13.0,,,,,
8,,,,,,21.0
9,,,,,30.0,
10,,14.0,,,,
11,,,,,,31.0
12,,,,,24.0,
13,9.0,,,,,
14,,,,,22.0,
15,,16.0,,,,
16,11.0,,,,,
17,,,,,,13.0
18,,,,,30.0,
19,,,,,10.0,
20,,,,,,31.0
21,,10.0,,,,
22,,,,,,29.0
23,,,,,10.0,
24,,,,,,41.0
25,,,,,18.0,
26,,,,,,17.0
27,,,,,,15.0
28,15.0,,,,,
29,,,,,,29.0
30,,,,,,19.0
31,,,,,,29.0
32,23.0,,,,,
33,,,,,10.0,
34,,,,,30.0,
35,,,,,,29.0
36,,,,,24.0,
37,,,,,,15.0
38,11.0,,,,,
39,,,,,14.0,
40,,,,,,15.0
41,11.0,,,,,
42,,,,,,13.0
43,,10.0,,,,
44,,,,,,29.0
45,9.0,,,,,
46,,,,,,23.0
47,,,,,,15.0
48,,,,,,23.0
49,,,,,,25.0
